Id,season,league_name,Club,MP,W,D,L,Pts,GF,GA,GD,avg_goals
1396,2015/2016,Netherlands Eredivisie,PSV,34,26,6,2,84,88,32,56,2.588235294117647
940,2013/2014,England Premier League,Liverpool,38,26,6,6,84,101,50,51,2.6578947368421053
83,2008/2009,Italy Serie A,Inter,38,25,9,4,84,70,32,38,1.8421052631578947
1469,2015/2016,Switzerland Super League,FC Basel,36,26,5,5,83,88,38,50,2.4444444444444446
709,2011/2012,Scotland Premier League,Rangers,38,26,5,7,83,77,28,49,2.026315789473684
1150,2014/2015,France Ligue 1,Paris Saint-Germain,38,24,11,3,83,83,36,47,2.1842105263157894
790,2012/2013,France Ligue 1,Paris Saint-Germain,38,25,8,5,83,69,23,46,1.8157894736842106
22,2008/2009,England Premier League,Chelsea,38,25,8,5,83,68,24,44,1.7894736842105263
1239,2014/2015,Portugal Liga ZON Sagres,FC Porto,34,25,7,2,82,74,13,61,2.176470588235294
1386,2015/2016,Netherlands Eredivisie,Ajax,34,25,7,2,82,81,21,60,2.3823529411764706
1377,2015/2016,Italy Serie A,Napoli,38,25,7,6,82,80,32,48,2.1052631578947367
146,2008/2009,Scotland Premier League,Celtic,38,24,10,4,82,80,33,47,2.1052631578947367
935,2013/2014,England Premier League,Chelsea,38,25,7,6,82,71,27,44,1.868421052631579
268,2009/2010,Italy Serie A,Inter,38,24,10,4,82,75,34,41,1.9736842105263157
459,2010/2011,Italy Serie A,Milan,38,24,10,4,82,65,24,41,1.7105263157894737
602,2011/2012,France Ligue 1,Montpellier Hérault SC,38,25,7,6,82,68,34,34,1.7894736842105263
614,2011/2012,Germany Bundesliga 1,Borussia Dortmund,34,25,6,3,81,80,25,55,2.3529411764705883
331,2009/2010,Scotland Premier League,Celtic,38,25,6,7,81,75,39,36,1.9736842105263157
1312,2015/2016,England Premier League,Leicester City,38,23,12,3,81,68,36,32,1.7894736842105263
97,2008/2009,Netherlands Eredivisie,AZ,34,25,5,4,80,66,22,44,1.9411764705882353
365,2009/2010,Switzerland Super League,FC Basel,36,25,5,6,80,90,46,44,2.5
1379,2015/2016,Italy Serie A,Roma,38,23,11,4,80,83,41,42,2.1842105263157894
399,2010/2011,England Premier League,Manchester United,38,23,11,4,80,78,37,41,2.0526315789473686
953,2013/2014,France Ligue 1,AS Monaco,38,23,11,4,80,63,31,32,1.6578947368421053
45,2008/2009,France Ligue 1,Girondins de Bordeaux,38,24,8,6,80,64,34,30,1.6842105263157894
276,2009/2010,Italy Serie A,Roma,38,24,8,6,80,68,41,27,1.7894736842105263
1163,2014/2015,Germany Bundesliga 1,FC Bayern Munich,34,25,4,5,79,80,18,62,2.3529411764705883
887,2012/2013,Scotland Premier League,Celtic,38,24,7,7,79,92,35,57,2.4210526315789473
640,2011/2012,Italy Serie A,Juventus,35,22,13,0,79,64,19,45,1.8285714285714285
1127,2014/2015,England Premier League,Manchester City,38,24,7,7,79,83,38,45,2.1842105263157894
184,2008/2009,Switzerland Super League,FC Zürich,36,24,7,5,79,80,36,44,2.2222222222222223
606,2011/2012,France Ligue 1,Paris Saint-Germain,38,23,10,5,79,75,41,34,1.9736842105263157
932,2013/2014,England Premier League,Arsenal,38,24,7,7,79,68,41,27,1.7894736842105263
875,2012/2013,Portugal Liga ZON Sagres,FC Porto,30,24,6,0,78,70,14,56,2.3333333333333335
1347,2015/2016,Germany Bundesliga 1,Borussia Dortmund,34,24,6,4,78,82,34,48,2.411764705882353
290,2009/2010,Netherlands Eredivisie,PSV,34,23,9,2,78,72,29,43,2.1176470588235294
1282,2014/2015,Switzerland Super League,FC Basel,36,24,6,6,78,84,41,43,2.3333333333333335
1003,2013/2014,Italy Serie A,Napoli,38,23,9,6,78,77,39,38,2.026315789473684
1261,2014/2015,Spain LIGA BBVA,Atlético Madrid,38,23,9,6,78,67,29,38,1.763157894736842
827,2012/2013,Italy Serie A,Napoli,38,23,9,6,78,73,36,37,1.9210526315789473
235,2009/2010,France Ligue 1,Olympique de Marseille,38,23,9,6,78,69,36,33,1.8157894736842106
764,2012/2013,England Premier League,Manchester City,38,23,9,6,78,66,34,32,1.736842105263158
170,2008/2009,Spain LIGA BBVA,Real Madrid CF,38,25,3,10,78,83,52,31,2.1842105263157894
882,2012/2013,Portugal Liga ZON Sagres,SL Benfica,30,24,5,1,77,77,20,57,2.566666666666667
11,2008/2009,Belgium Jupiler League,RSC Anderlecht,34,24,5,5,77,75,30,45,2.2058823529411766
16,2008/2009,Belgium Jupiler League,Standard de Liège,34,24,5,5,77,66,26,40,1.9411764705882353
643,2011/2012,Italy Serie A,Milan,37,23,8,6,77,72,33,39,1.945945945945946
1278,2014/2015,Spain LIGA BBVA,Valencia CF,38,22,11,5,77,70,32,38,1.8421052631578947
52,2008/2009,France Ligue 1,Olympique de Marseille,38,22,11,5,77,67,35,32,1.763157894736842
363,2009/2010,Switzerland Super League,BSC Young Boys,36,25,2,9,77,78,47,31,2.1666666666666665
325,2009/2010,Portugal Liga ZON Sagres,SL Benfica,30,24,4,2,76,78,20,58,2.6
653,2011/2012,Netherlands Eredivisie,Ajax,34,23,7,4,76,93,36,57,2.735294117647059
838,2012/2013,Netherlands Eredivisie,Ajax,34,22,10,2,76,83,31,52,2.4411764705882355
1245,2014/2015,Portugal Liga ZON Sagres,Sporting CP,34,22,10,2,76,67,29,38,1.9705882352941178
899,2012/2013,Spain LIGA BBVA,Atlético Madrid,38,23,7,8,76,65,31,34,1.7105263157894737
416,2010/2011,France Ligue 1,LOSC Lille,38,21,13,4,76,68,36,32,1.7894736842105263
455,2010/2011,Italy Serie A,Inter,38,23,7,8,76,69,42,27,1.8157894736842106
1276,2014/2015,Spain LIGA BBVA,Sevilla FC,38,23,7,8,76,71,45,26,1.868421052631579
688,2011/2012,Portugal Liga ZON Sagres,FC Porto,30,23,6,1,75,69,19,50,2.3
429,2010/2011,Germany Bundesliga 1,Borussia Dortmund,34,23,6,5,75,67,22,45,1.9705882352941178
202,2009/2010,England Premier League,Arsenal,38,23,6,9,75,83,41,42,2.1842105263157894
1148,2014/2015,France Ligue 1,Olympique Lyonnais,38,22,9,7,75,72,33,39,1.894736842105263
760,2012/2013,England Premier League,Chelsea,38,22,9,7,75,75,39,36,1.9736842105263157
1118,2014/2015,England Premier League,Arsenal,38,22,9,7,75,71,36,35,1.868421052631579
1248,2014/2015,Scotland Premier League,Aberdeen,38,23,6,9,75,57,33,24,1.5
733,2011/2012,Switzerland Super League,FC Basel,34,22,8,4,74,78,33,45,2.2941176470588234
1056,2013/2014,Portugal Liga ZON Sagres,SL Benfica,30,23,5,2,74,58,18,40,1.9333333333333333
87,2008/2009,Italy Serie A,Milan,38,22,8,8,74,70,35,35,1.8421052631578947
601,2011/2012,France Ligue 1,LOSC Lille,38,21,11,6,74,72,39,33,1.894736842105263
84,2008/2009,Italy Serie A,Juventus,38,21,11,6,74,69,37,32,1.8157894736842106
617,2011/2012,Germany Bundesliga 1,FC Bayern Munich,34,23,4,7,73,77,22,55,2.264705882352941
468,2010/2011,Netherlands Eredivisie,Ajax,34,22,7,5,73,72,30,42,2.1176470588235294
178,2008/2009,Switzerland Super League,BSC Young Boys,36,22,7,7,73,85,46,39,2.361111111111111
1426,2015/2016,Portugal Liga ZON Sagres,FC Porto,34,23,4,7,73,67,30,37,1.9705882352941178
758,2012/2013,England Premier League,Arsenal,38,21,10,7,73,72,37,35,1.894736842105263
549,2010/2011,Switzerland Super League,FC Basel,36,21,10,5,73,76,44,32,2.111111111111111
1094,2013/2014,Switzerland Super League,FC Basel,36,19,15,2,72,70,34,36,1.9444444444444444
18,2008/2009,England Premier League,Arsenal,38,20,12,6,72,68,37,31,1.7894736842105263
554,2010/2011,Switzerland Super League,FC Zürich,36,21,9,6,72,74,44,30,2.0555555555555554
919,2012/2013,Switzerland Super League,FC Basel,36,21,9,6,72,61,31,30,1.6944444444444444
180,2008/2009,Switzerland Super League,FC Basel,36,22,6,8,72,72,44,28,2.0
826,2012/2013,Italy Serie A,Milan,38,21,9,8,72,67,39,28,1.763157894736842
234,2009/2010,France Ligue 1,Olympique Lyonnais,38,20,12,6,72,64,38,26,1.6842105263157894
937,2013/2014,England Premier League,Everton,38,21,9,8,72,61,39,22,1.605263157894737
774,2012/2013,England Premier League,Tottenham Hotspur,38,21,9,8,72,66,46,20,1.736842105263158
493,2010/2011,Poland Ekstraklasa,Polonia Bytom,60,19,15,26,72,65,85,-20,1.0833333333333333
973,2013/2014,Germany Bundesliga 1,Borussia Dortmund,34,22,5,7,71,80,38,42,2.3529411764705883
1012,2013/2014,Netherlands Eredivisie,Ajax,34,20,11,3,71,69,28,41,2.0294117647058822
1198,2014/2015,Netherlands Eredivisie,Ajax,34,21,8,5,71,69,29,40,2.0294117647058822
394,2010/2011,England Premier League,Chelsea,38,21,8,9,71,69,33,36,1.8157894736842106
472,2010/2011,Netherlands Eredivisie,FC Twente,34,21,8,5,71,65,34,31,1.911764705882353
1306,2015/2016,England Premier League,Arsenal,38,20,11,7,71,65,36,29,1.7105263157894737
324,2009/2010,Portugal Liga ZON Sagres,SC Braga,30,22,5,3,71,48,20,28,1.6
398,2010/2011,England Premier League,Manchester City,38,21,8,9,71,60,33,27,1.5789473684210527
1138,2014/2015,France Ligue 1,AS Monaco,38,20,11,7,71,51,26,25,1.3421052631578947
51,2008/2009,France Ligue 1,Olympique Lyonnais,38,20,11,7,71,52,29,23,1.368421052631579
545,2010/2011,Spain LIGA BBVA,Valencia CF,38,21,8,9,71,64,44,20,1.6842105263157894
960,2013/2014,France Ligue 1,LOSC Lille,38,20,11,7,71,46,26,20,1.2105263157894737
359,2009/2010,Spain LIGA BBVA,Valencia CF,38,21,8,9,71,59,40,19,1.5526315789473684
1436,2015/2016,Scotland Premier League,Aberdeen,38,22,5,11,71,62,48,14,1.631578947368421
